Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date,_deal_key,_qa_missing_value,_qa_missing_sector
Sakura,OWNER_003,COMPANY111,Open,,Medium,5235907.32,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-17,Sakura | COMPANY111,False,False
Sakura,OWNER_001,COMPANY169,Open,,High,14680800.0,2026-01-31,D. Feasibility,Service + Spectra,Renewables,2025-11-17,Sakura | COMPANY169,False,False
Sakura,OWNER_001,COMPANY183,Open,,High,89308.2,2025-11-19,F. Negotiations,Pure Service,Mining,2025-11-17,Sakura | COMPANY183,False,False
Sakura,OWNER_003,COMPANY009,Open,,Low,2446800.0,2026-02-15,E. Proposal/Commercials Sent,Pure Service,Renewables,2025-11-18,Sakura | COMPANY009,False,False
Sakura,OWNER_003,COMPANY052,Open,,Medium,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,Sakura | COMPANY052,False,False
Sakura,OWNER_003,COMPANY108,Open,,Medium,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,Sakura | COMPANY108,False,False
Kakashi,OWNER_003,COMPANY021,Open,,Low,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,Kakashi | COMPANY021,False,False
Goku,OWNER_003,COMPANY067,Open,,Medium,2018605.1064000002,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-11-18,Goku | COMPANY067,False,False
Goku,OWNER_003,COMPANY043,Open,,Low,1223400.0,2026-02-28,B. Sales Qualified Leads,Pure Service,Mining,2025-11-18,Goku | COMPANY043,False,False
Luffy,OWNER_003,COMPANY093,Open,,High,122340000.0,2026-02-28,F. Negotiations,Service + Spectra,Tender,2025-11-18,Luffy | COMPANY093,False,False
Zoro,OWNER_003,COMPANY067,Open,,Medium,3058500.0,2026-01-15,B. Sales Qualified Leads,Pure Service,Railways,2025-11-18,Zoro | COMPANY067,False,False
Nami,OWNER_004,COMPANY110,Open,,Low,91755000.0,2026-01-15,E. Proposal/Commercials Sent,Service + Spectra,Tender,2025-11-19,Nami | COMPANY110,False,False
Sanji,OWNER_003,COMPANY048,Open,,Medium,7340400.0,2026-02-15,F. Negotiations,Dock + DMO,Security and Surveillance,2025-11-19,Sanji | COMPANY048,False,False
